2022-05-15 13:05:159 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:674 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:641 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:144 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:354 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ba0f81f9b8f2cfb8d275690be206f393)] -> link text: Log in]
2022-05-15 14:05:388 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (ba0f81f9b8f2cfb8d275690be206f393)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 14:05:276 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:249 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (e87a690a5fc7ef59aff21b6d7ead1c54)] -> link text: Log in]
2022-05-15 14:05:287 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (e87a690a5fc7ef59aff21b6d7ead1c54)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 14:05:610 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:875 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d3d5b22379a13132ee305ad66b536d39)] -> link text: Log in]
2022-05-15 14:05:902 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (d3d5b22379a13132ee305ad66b536d39)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 14:05:635 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:244 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (a3a2a78cbad6ffdb9cff3ae1687b5570)] -> link text: Log in]
2022-05-15 14:05:469 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:05 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (bfcd54c791cb35e036cd2f7441bfe7ee)] -> link text: Log in]
2022-05-15 14:05:235 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:634 INFO  HomePage :38 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (ffa66abd107f5e73813d50f6eb83c76a)] -> link text: Log in]
2022-05-15 14:05:415 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:507 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (d9858e763b7e40d96d0a4a36dca5f047)] -> link text: Log in]
2022-05-15 14:05:544 INFO  LoginPage :45 - Getting text from : [[ChromeDriver: chrome on WINDOWS (d9858e763b7e40d96d0a4a36dca5f047)] -> xpath: //h1[contains(text(),'Welcome, Please Sign In!')]]
2022-05-15 14:05:235 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:839 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (2a6653afb7f63fd526b89db45f4ad5b6)] -> link text: Log in]
2022-05-15 14:05:131 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:677 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (72b04247af5b52ad48c035178f626789)] -> link text: Log in]
2022-05-15 14:05:90 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-15 14:05:579 INFO  HomePage :42 - Clicking on login link : [[ChromeDriver: chrome on WINDOWS (c3746a595feb69a784a1806ad999c1e5)] -> link text: Log in]
2022-05-15 14:05:964 INFO  ManageDriver :33 - Launching Chrome Browser
