2022-05-16 21:05:665 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-16 21:05:114 INFO  ComputerPage :33 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (6042c139bedce4a80dee642d9def02b7)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-16 21:05:638 INFO  ComputerPage :43 - Click on desktop[[ChromeDriver: chrome on WINDOWS (6042c139bedce4a80dee642d9def02b7)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]]
2022-05-16 21:05:98 INFO  DesktopsPage :67 - Build your own computer[[ChromeDriver: chrome on WINDOWS (6042c139bedce4a80dee642d9def02b7)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-16 21:05:827 INFO  DesktopsPage :72 - Select processor[[ChromeDriver: chrome on WINDOWS (6042c139bedce4a80dee642d9def02b7)] -> xpath: //select[@id='product_attribute_1']]
2022-05-16 21:05:916 INFO  DesktopsPage :77 - select ram[[ChromeDriver: chrome on WINDOWS (6042c139bedce4a80dee642d9def02b7)] -> xpath: //select[@id='product_attribute_2']]
2022-05-16 21:05:968 INFO  DesktopsPage :82 - Select Hdd320 GB
2022-05-16 21:05:155 INFO  DesktopsPage :111 - Add to cart[[ChromeDriver: chrome on WINDOWS (6042c139bedce4a80dee642d9def02b7)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-16 21:05:957 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-16 21:05:313 INFO  ComputerPage :33 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (687aececf1e3e450c2848cadcff915de)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-16 21:05:853 INFO  ComputerPage :43 - Click on desktop[[ChromeDriver: chrome on WINDOWS (687aececf1e3e450c2848cadcff915de)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]]
2022-05-16 21:05:322 INFO  DesktopsPage :67 - Build your own computer[[ChromeDriver: chrome on WINDOWS (687aececf1e3e450c2848cadcff915de)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-16 21:05:229 INFO  DesktopsPage :72 - Select processor[[ChromeDriver: chrome on WINDOWS (687aececf1e3e450c2848cadcff915de)] -> xpath: //select[@id='product_attribute_1']]
2022-05-16 21:05:299 INFO  DesktopsPage :77 - select ram[[ChromeDriver: chrome on WINDOWS (687aececf1e3e450c2848cadcff915de)] -> xpath: //select[@id='product_attribute_2']]
2022-05-16 21:05:371 INFO  DesktopsPage :82 - Select Hdd400 GB [+$100.00]
2022-05-16 21:05:612 INFO  DesktopsPage :111 - Add to cart[[ChromeDriver: chrome on WINDOWS (687aececf1e3e450c2848cadcff915de)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-16 21:05:808 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-16 21:05:809 INFO  ComputerPage :33 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (70e3b025bb8cb2500bbcaf2926ffff12)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-16 21:05:323 INFO  ComputerPage :43 - Click on desktop[[ChromeDriver: chrome on WINDOWS (70e3b025bb8cb2500bbcaf2926ffff12)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]]
2022-05-16 21:05:756 INFO  DesktopsPage :67 - Build your own computer[[ChromeDriver: chrome on WINDOWS (70e3b025bb8cb2500bbcaf2926ffff12)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-16 21:05:815 INFO  DesktopsPage :72 - Select processor[[ChromeDriver: chrome on WINDOWS (70e3b025bb8cb2500bbcaf2926ffff12)] -> xpath: //select[@id='product_attribute_1']]
2022-05-16 21:05:854 INFO  DesktopsPage :77 - select ram[[ChromeDriver: chrome on WINDOWS (70e3b025bb8cb2500bbcaf2926ffff12)] -> xpath: //select[@id='product_attribute_2']]
2022-05-16 21:05:906 INFO  DesktopsPage :82 - Select Hdd320 GB
2022-05-16 21:05:75 INFO  DesktopsPage :111 - Add to cart[[ChromeDriver: chrome on WINDOWS (70e3b025bb8cb2500bbcaf2926ffff12)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-16 21:05:59 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-16 21:05:32 INFO  ComputerPage :33 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (543e69fafbdd3a789aa3f74c1c0cae4b)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-16 21:05:523 INFO  ComputerPage :43 - Click on desktop[[ChromeDriver: chrome on WINDOWS (543e69fafbdd3a789aa3f74c1c0cae4b)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]]
2022-05-16 21:05:969 INFO  DesktopsPage :67 - Build your own computer[[ChromeDriver: chrome on WINDOWS (543e69fafbdd3a789aa3f74c1c0cae4b)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-16 21:05:653 INFO  DesktopsPage :72 - Select processor[[ChromeDriver: chrome on WINDOWS (543e69fafbdd3a789aa3f74c1c0cae4b)] -> xpath: //select[@id='product_attribute_1']]
2022-05-16 21:05:728 INFO  DesktopsPage :77 - select ram[[ChromeDriver: chrome on WINDOWS (543e69fafbdd3a789aa3f74c1c0cae4b)] -> xpath: //select[@id='product_attribute_2']]
2022-05-16 21:05:781 INFO  DesktopsPage :82 - Select Hdd320 GB
2022-05-16 21:05:962 INFO  DesktopsPage :111 - Add to cart[[ChromeDriver: chrome on WINDOWS (543e69fafbdd3a789aa3f74c1c0cae4b)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-16 21:05:841 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-16 21:05:859 INFO  ComputerPage :33 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (e4888ca4cc232dfc13aace8a18a40b86)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-16 21:05:471 INFO  ComputerPage :43 - Click on desktop[[ChromeDriver: chrome on WINDOWS (e4888ca4cc232dfc13aace8a18a40b86)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]]
2022-05-16 21:05:06 INFO  DesktopsPage :67 - Build your own computer[[ChromeDriver: chrome on WINDOWS (e4888ca4cc232dfc13aace8a18a40b86)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-16 21:05:11 INFO  DesktopsPage :72 - Select processor[[ChromeDriver: chrome on WINDOWS (e4888ca4cc232dfc13aace8a18a40b86)] -> xpath: //select[@id='product_attribute_1']]
2022-05-16 21:05:75 INFO  DesktopsPage :77 - select ram[[ChromeDriver: chrome on WINDOWS (e4888ca4cc232dfc13aace8a18a40b86)] -> xpath: //select[@id='product_attribute_2']]
2022-05-16 21:05:181 INFO  DesktopsPage :82 - Select Hdd400 GB [+$100.00]
2022-05-16 21:05:500 INFO  DesktopsPage :111 - Add to cart[[ChromeDriver: chrome on WINDOWS (e4888ca4cc232dfc13aace8a18a40b86)] -> xpath: //button[@id='add-to-cart-button-1']]
2022-05-16 21:05:460 INFO  ManageDriver :33 - Launching Chrome Browser
2022-05-16 21:05:840 INFO  ComputerPage :33 - Click on computer tab[[ChromeDriver: chrome on WINDOWS (ff0bbd99b7226ffba468ddd2352bc9da)] -> xpath: //body/div[6]/div[2]/ul[1]/li[1]/a[1]]
2022-05-16 21:05:608 INFO  ComputerPage :43 - Click on desktop[[ChromeDriver: chrome on WINDOWS (ff0bbd99b7226ffba468ddd2352bc9da)] -> xpath: //body/div[6]/div[3]/div[1]/div[3]/div[1]/div[2]/div[1]/div[1]/div[1]/div[1]/h2[1]]
2022-05-16 21:05:164 INFO  DesktopsPage :67 - Build your own computer[[ChromeDriver: chrome on WINDOWS (ff0bbd99b7226ffba468ddd2352bc9da)] -> xpath: //a[contains(text(),'Build your own computer')]]
2022-05-16 21:05:456 INFO  DesktopsPage :72 - Select processor[[ChromeDriver: chrome on WINDOWS (ff0bbd99b7226ffba468ddd2352bc9da)] -> xpath: //select[@id='product_attribute_1']]
